X Acceleration (m/s^2), Y Acceleration (m/s^2), Z Acceleration (m/s^2), Time (milliseconds)
-0.3849, 0.3773, 9.4176, 5
-0.7698, 0, 9.809999, 51
-0.7698, 0, 9.809999, 81
-0.7698, 0, 9.809999, 127
-0.7698, 0, 10.2024, 173
-0.7698, 0, 9.809999, 204
-0.7698, 0, 9.4176, 251
-1.5396, -0.3773, 9.4176, 283
-0.3849, 0, 9.0252, 329
-0.3849, 0, 9.809999, 376
-1.5396, -0.3773, 10.2024, 407
-1.1547, 0, 9.809999, 454
-0.3849, 0.3773, 9.4176, 485
-0.7698, 0, 9.809999, 531
-1.9245, -0.3773, 10.5948, 577
-1.1547, 0, 10.2024, 607
-1.1547, 0, 9.809999, 655
-1.1547, -0.3773, 10.2024, 686
-0.7698, 0, 9.4176, 732
-0.3849, 0, 9.809999, 778
-0.7698, 0.3773, 10.2024, 808
-0.3849, 0, 10.2024, 853
-0.3849, 0.3773, 9.4176, 900
0, 0, 9.809999, 930
-0.3849, -0.3773, 9.809999, 977
-0.3849, 0, 9.809999, 1009
-0.3849, -0.3773, 10.2024, 1054
-0.7698, -0.7546, 7.848, 1102
-0.3849, 0, 10.5948, 1132
-1.1547, -0.3773, 10.9872, 1177
-0.7698, -0.7546, 9.4176, 1208
-0.7698, -0.3773, 9.809999, 1254
-1.1547, 0, 10.9872, 1301
-0.7698, -0.7546, 9.4176, 1332
-0.7698, -0.3773, 9.809999, 1379
-1.1547, 0.3773, 9.809999, 1412
-0.7698, -0.7546, 10.2024, 1459
-1.1547, 0, 9.809999, 1506
-0.7698, 0.3773, 9.809999, 1536
-0.7698, 0.3773, 9.4176, 1584
-1.1547, 0, 9.809999, 1615
-0.7698, 0, 9.809999, 1661
-0.7698, 0, 9.809999, 1693
0, 0, 9.4176, 1739
0, -0.3773, 9.4176, 1786
-0.7698, 0, 9.809999, 1817
-0.7698, 0, 10.2024, 1863
-0.7698, 0, 10.2024, 1896
-0.7698, 0, 9.809999, 1941
-0.7698, 0.3773, 9.809999, 1990
-0.7698, 0.3773, 9.809999, 2052
-0.3849, 0.3773, 9.4176, 2066
1.1547, 0, 10.5948, 2097
4.2339, -0.7546, 14.1264, 2175
11.1621, 1.1319, 14.9112, 2190
15.396, 4.1503, 10.9872, 2221
17.3205, 3.3957, 7.0632, 2267
6.1584, -0.7546, -2.3544, 2299
-16.5507, -4.1503, 2.3544, 2346
-25.0185, -0.3773, 13.3416, 2392
-14.2413, 1.5092, 10.2024, 2423
-10.7772, 5.6595, 5.1012, 2470
-7.3131, -1.8865, 12.5568, 2500
-2.6943, -3.0184, 5.1012, 2546
-3.0792, -0.7546, 7.0632, 2593
-3.4641, -1.8865, 10.2024, 2624
-2.3094, -0.7546, 9.0252, 2671
-2.6943, -0.7546, 10.5948, 2702
-2.3094, -1.1319, 10.2024, 2747
-1.9245, -1.1319, 9.809999, 2795
-2.3094, -0.3773, 10.5948, 2826
-3.0792, 0, 10.5948, 2871
-2.3094, -1.1319, 9.0252, 2903
-1.9245, -1.1319, 9.4176, 2949
-3.0792, -0.7546, 10.9872, 2997
-3.849, -0.7546, 10.5948, 3027
-4.6188, -0.3773, 9.4176, 3073
-5.0037, -1.1319, 9.4176, 3105
-5.7735, -1.5092, 9.4176, 3150
-4.6188, -1.8865, 8.2404, 3195
-2.3094, -1.5092, 7.848, 3228
-1.9245, -1.1319, 8.2404, 3273
0.3849, -0.7546, 9.0252, 3322
1.1547, 0.3773, 8.6328, 3351
1.9245, 1.5092, 10.5948, 3398
1.9245, 2.6411, 9.809999, 3430
3.849, 0.3773, 10.9872, 3474
3.849, 0.7546, 10.5948, 3522
3.0792, 0.3773, 10.2024, 3553
2.6943, 1.1319, 10.9872, 3599
1.9245, 0.7546, 10.2024, 3631
1.5396, 0.3773, 10.5948, 3676
0.7698, 1.1319, 9.809999, 3724
1.5396, 0, 9.809999, 3755
0.3849, 1.1319, 10.2024, 3817
-1.1547, 1.5092, 9.4176, 3847
-0.7698, 0.7546, 9.809999, 3877
-1.1547, 0.7546, 9.4176, 3924
-1.5396, 1.5092, 10.5948, 3956
-1.1547, 0.7546, 10.5948, 4001
-0.7698, 0.3773, 10.9872, 4048
-1.9245, 1.1319, 10.5948, 4079
-2.6943, 1.1319, 8.6328, 4128
-1.5396, 1.1319, 8.2404, 4161
-1.1547, 0.7546, 9.0252, 4207
-1.5396, 0.3773, 8.2404, 4237
-1.5396, 0.7546, 8.6328, 4299
-1.1547, 0.3773, 9.0252, 4329
-0.7698, 0.7546, 9.4176, 4360
-0.7698, 0, 10.2024, 4406
-0.7698, 0.3773, 12.1644, 4440
-1.1547, 1.5092, 10.5948, 4484
-0.3849, 2.2638, 9.4176, 4531
0, 1.8865, 10.5948, 4562
0.7698, 0.7546, 9.4176, 4608
-0.3849, 1.5092, 12.5568, 4639
0.7698, 2.6411, 7.848, 4684
0, 0, 8.6328, 4732
0.7698, 1.8865, 10.2024, 4764
1.1547, -1.1319, 9.4176, 4810
0.3849, 1.5092, 12.1644, 4841
-0.7698, 0, 10.2024, 4887
-0.3849, -1.5092, 9.4176, 4935
0.3849, 0.7546, 9.809999, 4965
-0.3849, 0.7546, 10.2024, 5011
0.3849, 0.3773, 10.2024, 5042
0, 0.3773, 10.2024, 5087
0.3849, 0.3773, 9.809999, 5134
0.3849, 0.3773, 9.4176, 5166
0.3849, 1.5092, 9.809999, 5211
0, 0.3773, 9.809999, 5258
0.7698, 0.3773, 9.4176, 5289
0, 0.3773, 10.2024, 5334
0, 0.7546, 9.809999, 5366
0, 0.7546, 9.809999, 5413
0, 0.7546, 9.809999, 5460
0, 0.7546, 9.809999, 5490
0.3849, 0.3773, 9.809999, 5537
0, 0.7546, 9.809999, 5567
0, 0.7546, 9.809999, 5613
0.7698, 1.1319, 10.5948, 5660
1.5396, 0.7546, 12.5568, 5692
3.0792, 0, 12.1644, 5738
6.5433, 0.3773, 13.734, 5787
17.3205, 3.0184, 12.1644, 5815
23.4789, 5.6595, 8.2404, 5863
16.1658, 0.7546, -2.3544, 5894
-10.3923, -4.1503, -1.1772, 5941
-33.8712, -7.546, 16.0884, 5971
-19.245, 3.3957, 8.6328, 6017
-9.6225, 0.7546, 7.848, 6065
-5.7735, -2.2638, 9.4176, 6095
-3.849, -0.3773, 8.6328, 6140
-3.4641, -1.1319, 9.809999, 6173
-2.6943, -1.1319, 8.2404, 6217
-3.4641, -0.7546, 10.9872, 6263
-3.0792, -0.7546, 9.4176, 6295
-2.6943, -0.3773, 9.809999, 6343
-2.6943, -0.7546, 10.2024, 6373
-2.6943, -0.3773, 9.0252, 6419
