X Acceleration (m/s^2), Y Acceleration (m/s^2), Z Acceleration (m/s^2), Time (milliseconds)
-2.45, -0.35, 9.45, 32705
-2.45, 0, 9.45, 27
-2.45, 0, 9.8, 72
-2.8, 0, 9.45, 104
-2.8, 0, 9.8, 149
-2.8, 0, 9.8, 180
-2.8, 0, 9.45, 227
-2.8, 0, 9.45, 275
-2.8, 0, 9.45, 305
-2.45, 0, 9.45, 352
-2.8, 0, 9.45, 383
-2.45, -0.35, 9.45, 428
-2.8, 0, 9.45, 474
-2.8, 0, 9.45, 507
-2.45, 0, 10.5, 556
-3.85, 1.05, 13.65, 587
-6.65, 2.8, 20.3, 633
-8.05, 3.85, 19.6, 666
-6.65, 0.7, 12.6, 713
-2.8, -3.85, -0.7, 759
0.7, -4.55, -0.7, 790
3.15, -1.75, 2.45, 835
3.15, 1.75, 7.35, 866
2.8, 1.05, 8.75, 912
2.1, 0.35, 9.099999, 960
2.45, -1.4, 10.5, 990
4.55, -3.15, 12.6, 1037
10.15, -1.75, 15.75, 1067
11.2, 2.1, 12.6, 1115
2.45, 2.45, 6.65, 1161
-5.95, 4.2, 4.55, 1191
-10.5, 5.95, 2.1, 1237
-11.9, 3.15, 8.4, 1269
-11.9, 0.35, 9.099999, 1316
-7.7, 1.05, 8.75, 1364
-3.85, 2.8, 8.75, 1394
-3.5, 2.1, 9.099999, 1440
-3.5, 1.75, 9.8, 1475
-3.85, 1.75, 9.099999, 1518
-3.85, 1.4, 9.8, 1566
-3.5, 1.75, 9.45, 1596
-3.15, 1.75, 9.099999, 1642
-3.15, 1.75, 9.45, 1674
-3.15, 1.75, 9.099999, 1720
-3.15, 1.4, 9.45, 1770
-3.15, 1.75, 9.45, 1800
-3.15, 1.4, 9.099999, 1847
-3.15, 1.75, 9.45, 1878
-3.15, 1.4, 9.099999, 1924
-2.8, 1.4, 9.099999, 1986
-2.8, 1.4, 9.099999, 2017
-3.15, 1.4, 9.099999, 2048
-2.8, 1.4, 9.099999, 2078
-2.8, 2.1, 9.099999, 2142
-3.15, 2.1, 9.099999, 2171
-3.5, 2.1, 8.75, 2203
-3.85, 1.75, 8.75, 2249
-3.5, 2.1, 8.75, 2280
-3.15, 2.45, 8.75, 2327
-2.8, 2.45, 8.05, 2360
-3.5, 1.75, 8.75, 2405
-3.15, 2.1, 8.75, 2454
-3.15, 2.45, 8.05, 2500
-3.15, 2.45, 8.05, 2530
-2.8, 2.45, 8.05, 2577
-3.5, 2.1, 8.4, 2608
-3.5, 2.45, 8.4, 2657
-2.8, 3.15, 8.4, 2687
-2.8, 2.8, 8.75, 2734
-2.8, 3.15, 9.099999, 2765
-2.45, 3.5, 8.75, 2811
-3.15, 2.8, 9.45, 2858
-2.8, 3.15, 9.8, 2888
-2.45, 3.15, 10.15, 2935
-2.45, 2.45, 8.4, 2966
-2.45, 2.45, 9.8, 3012
-2.45, 2.1, 9.8, 3060
-2.45, 1.4, 9.099999, 3090
-2.1, 1.75, 9.8, 3137
-2.1, 1.75, 9.8, 3169
-2.1, 1.05, 10.5, 3215
-1.75, 0.7, 9.099999, 3262
-1.75, 1.05, 10.5, 3293
-1.4, 0.35, 10.15, 3340
-1.75, 0.7, 10.15, 3371
-1.4, 0.7, 10.15, 3418
-1.75, 0.35, 9.8, 3449
-1.75, 0.35, 9.8, 3494
-2.1, 0.35, 9.8, 3542
-2.45, -0.35, 9.45, 3573
-2.8, 0, 9.45, 3620
-2.8, 0, 9.45, 3652
-2.8, -0.35, 9.8, 3698
-2.8, 0, 9.45, 3745
-2.8, -0.35, 9.45, 3776
-2.45, 0, 9.45, 3818
-2.8, -0.35, 9.45, 3854
-2.8, -0.35, 9.45, 3900
-2.8, -0.35, 9.45, 3946
-2.8, -0.35, 9.45, 3977
-2.8, 0, 9.45, 4024
-2.8, 0, 9.099999, 4055
-2.8, 0, 9.45, 4102
-3.15, 0, 10.15, 4148
-3.15, 0.35, 12.6, 4181
-3.85, 0, 14, 4226
-4.9, 0.35, 16.1, 4257
-5.95, 0.35, 14, 4304
-4.9, 0.7, 13.3, 4351
-2.45, -0.35, 8.75, 4381
-1.75, -1.05, 3.5, 4430
-0.35, -1.4, 5.25, 4461
0.7, -0.7, 4.9, 4506
-0.35, -0.7, 6.3, 4539
-0.7, -0.7, 7.35, 4584
-1.4, -0.7, 7.7, 4632
-0.7, -0.7, 9.45, 4664
-1.05, -1.4, 9.45, 4709
-0.35, -1.75, 9.45, 4757
1.05, -2.1, 10.15, 4788
1.75, -1.75, 11.2, 4834
3.5, 0, 12.6, 4865
2.1, -0.35, 12.25, 4911
0, -0.35, 10.15, 4941
-1.05, 0.7, 10.15, 4987
-2.45, 0.7, 6.65, 5034
-4.55, 1.4, 7.35, 5066
-5.6, 1.4, 7.35, 5113
-6.65, 0.7, 7.7, 5145
-6.3, 0.35, 9.099999, 5192
-4.55, 1.4, 7.7, 5238
-5.95, 0, 9.8, 5270
-4.9, 1.05, 9.8, 5317
-3.5, 1.4, 9.45, 5349
-4.2, 0.7, 10.15, 5394
-3.15, 0.7, 9.8, 5427
-3.15, 0.35, 9.8, 5473
-3.15, 0.35, 9.45, 5520
-3.15, 0.35, 9.8, 5550
-3.15, 0.35, 9.45, 5596
-2.8, 0.35, 9.099999, 5629
-3.15, 0, 9.45, 5676
-2.8, 0, 9.099999, 5723
-2.8, 0.35, 9.099999, 5753
-2.8, 0.35, 9.45, 5799
-2.8, 0.35, 8.75, 5831
-2.8, 0.35, 8.4, 5878
-2.8, 0.35, 8.05, 5910
-3.5, 0.35, 7.7, 5956
-4.2, 0, 7.7, 6009
-3.85, 0.7, 7.7, 6035
-4.2, 0.7, 8.75, 6080
-5.25, 0.7, 9.099999, 6112
-5.25, 0.7, 8.05, 6158
-5.25, 1.05, 8.75, 6206
-4.55, 1.4, 8.4, 6237
-4.55, 1.75, 8.75, 6285
-4.9, 0.7, 8.75, 6316
-4.2, 1.75, 8.75, 6361
-3.85, 1.4, 8.75, 6409
-3.5, 0.35, 9.45, 6439
-2.8, 0.7, 8.75, 6487
-2.45, 0.7, 8.75, 6519
-1.75, 1.05, 9.8, 6564
-1.4, 0.7, 8.75, 6597
-3.15, 1.75, 9.8, 6643
-5.25, -1.4, 9.099999, 6675
-4.2, -2.1, 10.5, 6722
-2.45, 0.7, 14, 6771
-1.4, 1.05, 12.95, 6800
-3.15, -0.35, 10.15, 6847
-3.5, 0.7, 9.8, 6877
-4.55, 0.35, 9.45, 6925
-5.6, -1.05, 8.4, 6970
-5.25, -0.35, 8.4, 7017
-4.55, -0.35, 8.75, 7047
-4.55, 0, 8.75, 7079
-4.55, 0, 8.4, 7127
-4.9, 0, 8.75, 7159
-6.65, 0, 11.55, 7207
-11.55, 3.15, 24.5, 7254
-14.7, 3.15, 23.45, 7283
-14.7, 0.35, 10.85, 7330
-9.45, -2.1, 0, 7362
1.4, 0, -4.55, 7408
2.8, -3.15, -4.2, 7470
2.45, -2.8, 1.05, 7486
3.15, -1.05, 7.35, 7532
2.1, -2.45, 8.4, 7565
4.9, -3.5, 10.85, 7613
12.95, -3.15, 14.35, 7658
11.9, -4.9, 14, 7688
4.9, -2.45, 12.95, 7750
1.4, 4.55, 7, 7765
-7.35, 7, 0.35, 7812
-17.15, 5.95, 8.05, 7859
-15.4, -0.7, 8.4, 7889
-10.15, 0.7, 7, 7936
-4.55, 2.8, 8.4, 7966
-4.55, 1.75, 10.15, 8013
-3.15, 1.4, 9.099999, 8063
-3.85, 0.7, 9.099999, 8091
-4.2, -0.35, 9.8, 8138
-3.85, 0.7, 9.45, 8170
-3.5, 0.35, 10.15, 8216
-3.15, 0.35, 9.099999, 8249
-3.85, 0, 10.15, 8297
-2.45, 1.05, 8.75, 8343
-2.8, 0.7, 9.099999, 8377
-3.5, 0, 9.45, 8422
-2.8, 0.7, 9.099999, 8452
-2.8, 0.7, 9.099999, 8499
-2.8, 0.35, 8.75, 8546
-3.15, 0.35, 8.4, 8576
-3.5, 0.35, 8.05, 8614
-3.5, 1.05, 8.05, 8653
-3.85, 0.7, 8.05, 8699
-4.2, 1.4, 7.35, 8746
-3.5, 1.75, 7.7, 8779
-4.2, 1.4, 8.05, 8825
-4.55, 1.4, 8.05, 8857
-4.2, 2.8, 8.05, 8904
-5.6, 1.75, 8.4, 8951
-4.9, 2.1, 8.4, 8982
-4.55, 2.1, 7.7, 9029
-4.2, 2.45, 8.4, 9061
-3.85, 1.75, 6.65, 9107
-3.85, 2.1, 9.45, 9139
-3.85, 1.05, 9.45, 9185
-3.5, 2.45, 10.15, 9233
-2.8, 1.75, 10.5, 9265
-3.5, 1.4, 10.15, 9311
-3.15, 0.7, 9.099999, 9342
-3.85, 1.75, 10.5, 9388
-3.85, -0.35, 10.5, 9434
-4.2, 0, 9.8, 9465
-3.5, 1.75, 10.85, 9510
-2.45, 1.05, 11.2, 9542
-2.8, 1.05, 10.15, 9589
-2.8, 1.05, 9.8, 9636
-3.15, 0.7, 9.8, 9684
-3.85, 0.35, 9.099999, 9714
-3.85, 0.7, 8.4, 9747
-4.2, 0.35, 8.4, 9793
-4.9, 0, 8.4, 9824
-4.55, 0.35, 8.4, 9872
-4.9, 0.35, 8.4, 9905
-4.55, 0.35, 8.75, 9950
-4.2, 0.7, 8.4, 9998
-4.55, 0, 8.75, 10029
-4.9, 0.35, 8.75, 10076
-4.9, 0.35, 8.4, 10107
-4.9, 0, 8.75, 10152
-4.55, 0.35, 8.75, 10199
-4.55, 0.35, 8.4, 10230
-4.55, 0.35, 8.4, 10277
-4.55, 0.35, 8.4, 10308
-4.9, 0.35, 8.4, 10353
-4.55, 0.35, 8.4, 10401
-4.55, 0.35, 8.4, 10431
-4.9, 0.35, 8.75, 10477
-4.9, 0.35, 8.4, 10523
-4.55, 0.35, 8.4, 10553
-4.9, 0, 8.4, 10600
-4.9, 0.35, 8.4, 10631
-4.9, 0.35, 8.4, 10676
-4.55, 0.35, 8.75, 10723
-4.55, 0.35, 8.4, 10755
-4.55, 0.35, 8.4, 10803
-4.9, 0.35, 8.4, 10833
-4.9, 0.35, 8.4, 10879
-4.9, 0, 8.4, 10912
-4.9, 0.35, 8.4, 10958
-4.55, 0.35, 8.4, 11007
-4.9, 0.35, 8.4, 11037
-4.55, 0.35, 8.4, 11086
-4.55, 0.35, 8.4, 11116
-4.9, 0.35, 8.75, 11162
-4.9, 0.35, 8.4, 11208
-4.9, 0.35, 8.4, 11240
-4.9, 0.35, 8.4, 11286
-4.9, 0.35, 8.4, 11316
-4.9, 0.35, 8.4, 11363
-4.9, 0.35, 8.4, 11411
-5.25, 0, 8.4, 11441
-4.9, 0.35, 8.4, 11487
