X Acceleration (m/s^2), Y Acceleration (m/s^2), Z Acceleration (m/s^2), Time (milliseconds)
-0.7, 1.05, 9.8, 33232
-0.7, 0.7, 9.8, 41
-0.7, 0.7, 9.8, 72
-0.7, 1.05, 9.8, 118
-0.7, 0.7, 9.8, 170
-0.7, 1.05, 9.8, 196
-0.7, 0.7, 9.8, 243
-0.7, 1.05, 9.8, 275
-0.7, 0.7, 9.8, 321
-0.35, 0.7, 9.8, 367
0, 1.05, 10.15, 398
0.7, 0.7, 9.8, 445
2.1, 1.05, 10.15, 476
4.2, 1.4, 11.9, 522
8.05, 2.1, 12.6, 553
12.6, 4.55, 13.65, 615
14.35, 2.8, 10.85, 647
6.65, -1.75, 3.15, 677
-11.2, -3.85, -2.1, 724
-22.75, -1.4, 12.6, 770
-17.85, 0.35, 14.35, 803
-6.65, 0, 6.65, 848
-3.15, 0, 8.05, 879
-2.1, 0, 10.15, 926
-2.45, 0, 10.85, 957
-2.45, -1.05, 10.5, 1002
-2.8, -0.35, 9.8, 1050
-2.1, -0.35, 9.099999, 1082
-2.1, -0.35, 9.45, 1128
-2.1, 0.35, 9.8, 1174
-1.75, 0, 9.45, 1205
-1.75, 0, 9.8, 1252
-1.75, 0, 9.8, 1284
-2.1, 0.7, 9.45, 1328
-1.75, 0.35, 9.8, 1376
-1.75, 0, 9.45, 1407
-1.75, 0.35, 9.8, 1455
-1.75, 0, 9.8, 1485
-1.75, 0, 9.8, 1531
-2.1, 0.35, 9.8, 1578
-1.75, 0, 9.45, 1608
-1.75, 0, 9.45, 1655
