X Acceleration (m/s^2), Y Acceleration (m/s^2), Z Acceleration (m/s^2), Time (milliseconds)
-3.5, 0.7, 9.099999, 30
-3.5, 0.7, 9.099999, 58
-3.5, 0.35, 9.099999, 104
-3.5, 0.7, 9.099999, 135
-3.5, 0.35, 9.099999, 182
-3.5, 0.35, 9.099999, 229
-3.15, 0.35, 9.099999, 262
-2.8, 0, 10.15, 306
-1.05, 0, 11.2, 336
0.35, -0.7, 11.2, 383
1.4, -1.05, 12.95, 431
2.8, -0.7, 12.95, 463
2.45, 1.4, 9.099999, 501
-0.7, 4.9, 4.9, 540
-10.15, 4.55, 1.4, 582
-16.45, -1.05, 5.6, 634
-11.9, 1.4, 6.65, 664
-7.7, 2.8, 7.7, 702
-5.95, 5.25, 8.75, 743
-5.25, 7.7, 9.45, 790
-4.55, 9.8, 9.45, 823
-1.05, 10.5, 7.7, 868
-0.35, 8.4, 6.65, 915
-3.85, 2.1, 4.9, 947
-9.8, -6.65, 7, 992
-14.35, -11.55, 8.4, 1023
-9.45, -8.05, 8.4, 1070
-5.25, -3.15, 9.099999, 1117
-4.2, 0.35, 10.85, 1147
-5.6, 2.1, 12.95, 1193
-9.8, 1.4, 18.2, 1224
-13.65, 1.4, 21, 1272
-12.95, 1.4, 16.8, 1319
-8.4, 0.7, 8.75, 1365
-4.2, -0.7, 1.75, 1395
0.35, -0.35, 2.1, 1427
3.5, -0.35, 2.45, 1473
2.45, -1.75, -0.7, 1521
3.15, -1.4, 2.1, 1551
3.15, -0.7, 4.9, 1598
0, -1.4, 8.05, 1627
-1.75, -1.75, 9.45, 1673
-2.8, -1.75, 10.15, 1720
-2.8, -1.75, 10.5, 1750
-2.8, -2.1, 9.45, 1798
-3.15, -2.1, 9.8, 1845
-2.1, -1.75, 9.45, 1875
-2.45, -2.1, 9.45, 1923
-2.45, -1.75, 9.45, 1953
-2.1, -1.75, 9.099999, 2000
-2.1, -1.75, 9.45, 2031
-2.1, -1.75, 8.75, 2078
-2.1, -2.1, 8.4, 2125
-2.45, -2.1, 7.7, 2156
-2.45, -1.4, 6.65, 2202
-3.15, -2.1, 5.6, 2234
-3.85, -2.1, 7.35, 2280
-2.8, -0.7, 8.4, 2327
-2.8, 0, 7.7, 2359
-2.1, 0.35, 10.5, 2405
-2.45, -0.35, 9.099999, 2436
-2.8, -0.35, 7.7, 2483
-2.1, 0, 9.45, 2515
-2.45, -2.1, 9.8, 2562
-2.8, 0, 10.15, 2612
-2.1, 0, 10.5, 2642
-2.45, 0.35, 10.15, 2689
-2.1, -0.35, 9.8, 2719
-2.45, 1.4, 11.55, 2767
-1.75, -0.35, 10.15, 2800
-2.45, 1.4, 10.85, 2843
-2.1, 0.7, 10.5, 2879
-2.8, 1.4, 11.2, 2923
-2.8, 1.4, 10.85, 2971
-3.5, 0.7, 10.15, 3003
-3.85, 1.4, 10.5, 3051
-4.2, 0.35, 9.8, 3082
-4.55, 0, 9.45, 3130
-4.2, 0, 9.8, 3160
-4.2, 0, 9.45, 3206
-4.2, -0.35, 9.099999, 3253
-4.2, -0.35, 8.75, 3284
-4.2, -0.35, 8.75, 3330
-3.85, 0, 8.75, 3362
-3.85, -0.35, 8.75, 3409
-4.2, 0, 9.099999, 3455
-4.2, 0, 9.099999, 3487
-4.2, 0, 8.75, 3534
-4.2, -0.35, 9.099999, 3566
-4.2, -0.35, 8.75, 3612
-3.85, 0, 9.45, 3659
-3.5, 0.35, 11.55, 3691
-2.1, -0.35, 11.55, 3735
0, -1.75, 11.55, 3767
2.8, -2.45, 12.25, 3814
4.9, -1.05, 11.2, 3859
1.75, -0.35, 8.75, 3906
-3.85, 4.55, 5.95, 3936
-9.099999, 3.15, 2.1, 3968
-14.35, -1.05, 4.55, 4017
-12.25, 0.35, 7, 4048
-9.099999, 0, 7.7, 4094
-7, 1.05, 8.05, 4142
-5.95, 1.05, 8.05, 4172
-5.95, 0.7, 8.05, 4220
-5.6, 0.35, 8.05, 4265
-5.25, 0.7, 8.05, 4312
-4.9, 1.4, 8.05, 4343
-4.55, 2.8, 8.75, 4373
-4.55, 4.55, 8.75, 4419
-4.55, 5.95, 9.8, 4466
-4.2, 7, 9.8, 4497
-3.85, 5.25, 8.75, 4541
-2.1, 4.2, 7.7, 4575
-2.45, 0.7, 7.7, 4623
-4.9, -4.2, 6.65, 4653
-7.7, -6.65, 7.7, 4699
-7.7, -7.35, 8.05, 4747
-6.3, -4.9, 8.05, 4778
-4.55, -2.8, 9.099999, 4823
-3.5, -1.05, 8.4, 4871
-3.5, 0, 9.099999, 4902
-4.55, -0.35, 9.45, 4949
-4.9, 0.7, 10.15, 4979
-6.3, 0.35, 12.25, 5025
-8.05, 1.05, 16.45, 5056
-8.75, 0, 18.2, 5119
-7.35, 0.35, 15.75, 5149
-5.25, -0.35, 11.55, 5180
-3.15, -0.7, 7.7, 5225
-1.05, 0.7, 5.95, 5272
0.35, 0.7, 4.2, 5319
-0.35, -0.7, 3.85, 5348
-1.4, -1.05, 5.25, 5380
-1.4, -2.1, 4.9, 5426
-1.4, -1.4, 5.6, 5474
-0.35, -0.7, 6.65, 5506
-0.35, -0.7, 7.7, 5551
-0.7, -0.7, 8.75, 5583
-1.4, -1.05, 8.75, 5629
-1.05, 0, 9.8, 5676
-2.1, -1.05, 9.8, 5707
-1.75, -0.35, 9.8, 5755
-2.1, -1.05, 10.15, 5786
-2.45, -1.05, 9.8, 5833
-2.45, -1.05, 10.15, 5864
-1.75, -0.7, 9.45, 5910
-1.75, -0.35, 9.8, 5956
-1.75, -0.7, 9.45, 5988
-1.75, -0.7, 9.099999, 6032
-1.75, -0.7, 9.099999, 6079
-1.75, -1.05, 8.05, 6109
-2.45, -1.05, 7.7, 6156
-2.8, -1.05, 8.4, 6187
-2.8, -1.05, 8.05, 6233
-3.5, -0.35, 7.7, 6281
-2.45, 1.05, 7.7, 6313
-3.15, 0.7, 7, 6358
-4.2, -1.05, 9.45, 6404
-4.55, 0, 8.05, 6435
-3.5, 1.4, 8.05, 6484
-3.15, 1.05, 9.45, 6514
-3.15, -0.7, 8.4, 6560
-3.5, 0.7, 8.05, 6592
-4.2, -0.35, 9.099999, 6638
-3.15, 0, 8.4, 6670
-3.5, 1.4, 10.5, 6716
-2.1, 0, 10.15, 6764
-2.8, 1.4, 11.55, 6795
-1.75, 0.35, 11.55, 6841
-2.1, 1.75, 11.2, 6872
-3.5, 1.05, 11.55, 6917
-3.85, 0.7, 11.55, 6963
-3.5, 1.05, 10.85, 6995
-3.5, 0.7, 10.85, 7041
-3.5, 0, 9.45, 7073
-3.85, 0, 9.45, 7120
-4.2, -1.05, 9.099999, 7160
-4.55, -0.35, 9.099999, 7197
-3.85, -0.35, 9.45, 7244
-3.85, -0.35, 9.099999, 7275
-3.5, -0.7, 9.45, 7322
-3.15, -0.7, 9.45, 7370
-2.8, -1.05, 10.15, 7401
-1.4, -1.4, 9.8, 7446
-1.05, -0.35, 10.15, 7477
-1.05, 0.35, 10.85, 7525
-2.1, -0.35, 10.15, 7573
-2.45, -0.7, 11.55, 7603
-1.75, -0.7, 10.15, 7651
-3.15, -0.35, 9.45, 7682
-3.15, 0.35, 9.099999, 7728
-4.2, 0.35, 7.7, 7759
-4.55, 1.05, 7.35, 7807
-5.95, 1.05, 6.3, 7840
-7, 0.7, 5.95, 7887
-8.05, 0.35, 6.3, 7933
-8.75, -0.35, 7, 7964
-8.05, -0.7, 7.7, 8010
-5.95, 0.7, 7.7, 8058
-5.25, 1.05, 8.05, 8087
-5.25, 1.4, 8.05, 8135
-5.25, 2.1, 9.099999, 8167
-4.9, 2.1, 9.099999, 8207
-4.2, 3.15, 9.099999, 8259
-2.8, 3.15, 9.099999, 8289
-2.1, 2.8, 9.45, 8337
-2.1, 2.45, 10.5, 8367
-3.15, 1.05, 9.45, 8413
-4.2, -1.05, 9.099999, 8461
-3.85, -2.45, 8.75, 8493
-4.2, -3.5, 9.099999, 8539
-3.15, -3.85, 9.099999, 8571
-2.8, -3.85, 9.45, 8616
-3.15, -3.5, 9.8, 8649
-2.45, -2.1, 10.15, 8695
-3.15, -1.4, 11.2, 8742
-2.8, -0.35, 12.95, 8773
-3.5, -0.35, 14.7, 8819
-4.2, -1.05, 14.35, 8851
-3.5, -1.4, 13.3, 8897
-3.15, -1.4, 12.6, 8945
-2.1, -1.4, 11.55, 8975
-1.75, -1.05, 10.15, 9021
-0.35, -0.7, 9.099999, 9069
0, -0.7, 8.4, 9100
-0.35, -1.05, 5.6, 9131
1.4, -0.7, 3.5, 9178
1.75, -1.75, 2.8, 9225
3.15, -1.05, 3.5, 9258
2.8, -0.7, 6.3, 9306
2.8, -0.35, 8.4, 9335
2.8, -0.35, 9.45, 9381
2.8, -0.35, 9.099999, 9428
2.45, -1.4, 9.45, 9460
2.1, -1.05, 9.8, 9506
2.1, -1.05, 10.15, 9537
2.1, -1.05, 9.8, 9583
2.1, -1.05, 9.45, 9630
1.75, -1.4, 9.45, 9661
1.4, -1.05, 9.8, 9707
1.75, -1.05, 9.45, 9739
1.75, -1.05, 9.45, 9786
1.4, -0.7, 9.45, 9818
1.75, 0.35, 9.45, 9866
1.75, 0.35, 8.75, 9898
-1.05, -2.1, 9.099999, 9946
-1.05, -1.4, 8.4, 9994
0, -0.35, 8.75, 10025
0.35, 0, 8.05, 10071
0, -0.7, 8.4, 10119
0.35, 0, 9.099999, 10149
-0.35, -1.75, 8.05, 10195
-0.7, -1.4, 9.099999, 10226
-0.35, 0, 7.7, 10273
0, -0.35, 8.4, 10302
0.35, -0.7, 7.35, 10350
0, 0.35, 9.099999, 10395
1.4, 0.7, 8.75, 10428
1.75, 1.05, 10.5, 10472
2.45, 1.75, 10.5, 10503
1.75, 2.45, 12.95, 10550
1.05, 2.8, 14.7, 10596
0.7, 3.5, 13.65, 10627
-1.05, 2.45, 14, 10673
-2.8, 1.05, 12.95, 10719
-2.8, 0.7, 11.2, 10752
-2.8, 0.35, 10.15, 10796
-2.8, 0, 9.8, 10828
-2.45, 0.35, 9.45, 10874
-2.8, -0.35, 9.099999, 10906
-2.8, -0.35, 9.099999, 10953
-2.45, -0.35, 9.099999, 11001
-2.8, 0, 9.45, 11031
-2.45, -0.35, 9.099999, 11079
-2.8, 0, 9.099999, 11110
-2.8, -0.35, 9.099999, 11157
-2.8, -0.35, 9.8, 11204
-3.15, -0.35, 9.45, 11234
-2.8, -0.35, 9.8, 11282
-2.8, 0, 9.8, 11313
-2.8, 0, 9.8, 11359
-2.8, -0.35, 9.45, 11409
-2.8, -0.35, 9.45, 11438
