X Acceleration (m/s^2), Y Acceleration (m/s^2), Z Acceleration (m/s^2), Time (milliseconds)
-1.05, -0.7, 9.8, 1585
-1.4, -0.7, 10.15, 22
-1.05, -0.7, 9.8, 66
-1.4, -0.7, 9.45, 97
-1.4, -0.7, 9.8, 143
-1.05, -0.35, 9.45, 191
-1.4, -0.7, 9.8, 222
-1.4, -0.7, 9.8, 268
-1.4, -0.7, 9.45, 298
-1.4, -0.7, 9.8, 344
-1.4, -0.7, 9.8, 391
-1.05, -0.35, 9.45, 421
-1.05, -0.35, 9.8, 468
-1.05, -0.7, 9.8, 499
-1.05, -0.35, 9.45, 546
-0.7, -0.35, 10.15, 592
0.35, -0.35, 10.5, 623
1.75, -0.35, 11.9, 669
5.95, -0.7, 14.7, 716
11.55, 0.35, 11.9, 747
9.099999, 1.4, 7.35, 793
-2.45, 1.4, 8.05, 825
-4.55, 4.2, -3.5, 872
-18.2, -4.55, 11.2, 903
-9.8, 1.05, 7.7, 949
-10.85, -3.15, 10.85, 999
-5.25, 1.4, 7.7, 1029
-3.85, 0.7, 8.75, 1074
-3.5, 0.35, 9.45, 1106
-3.85, 0.7, 9.8, 1151
-3.5, 0, 9.45, 1198
-3.5, -0.35, 9.45, 1230
-3.5, 0, 9.45, 1292
-2.8, 0, 9.45, 1321
-2.8, 0.35, 9.45, 1352
-2.45, 0.35, 9.45, 1416
-2.8, 0, 9.099999, 1430
-2.8, 0.35, 9.099999, 1477
-2.8, 0.35, 9.45, 1509
-2.45, 0.7, 9.45, 1555
-2.45, 0.35, 9.45, 1601
-2.8, 0.35, 9.45, 1632
-2.45, 0.7, 9.45, 1678
-2.45, 0.7, 9.45, 1724
-2.45, 0.35, 9.45, 1756
-2.45, 0.7, 9.45, 1803
-2.45, 0.7, 9.099999, 1850
-2.45, 0.35, 9.8, 1880
-2.45, 0.35, 9.45, 1912
-2.45, 0.7, 9.45, 1957
-2.45, 0.35, 9.45, 2006
-2.45, 0.35, 9.45, 2036
-2.45, 0.7, 9.45, 2083
-2.45, 0.35, 9.45, 2114
-2.45, 0.35, 9.45, 2160
-2.45, 0.7, 9.099999, 2208
-2.45, 0.35, 9.45, 2238
-2.45, 0.7, 9.8, 2285
-2.45, 0.7, 9.099999, 2317
-2.45, 0.7, 9.45, 2361
-2.45, 0.35, 9.45, 2408
-2.45, 0.35, 9.45, 2440
-2.45, 0.35, 9.45, 2486
