25% Duty Cycle,50% Duty Cycle,75% Duty Cycle,100% Duty Cycle
0,0,0,0
0,0,0,0
0,0,0,1
1,1,1,2
1,1,2,4
1,2,3,5
2,3,5,8
2,4,6,10
3,5,9,13
4,7,11,16
5,8,13,19
5,10,16,23
6,11,18,26
7,13,21,30
8,15,24,33
9,17,27,37
10,19,29,41
11,21,32,45
12,23,35,49
13,25,39,53
14,27,42,57
15,29,45,61
16,31,48,66
17,33,51,70
18,35,54,74
19,37,58,78
20,39,61,83
21,41,64,87
22,43,67,91
23,46,71,96
24,48,74,100
25,50,77,105
26,52,81,109
28,54,84,114
29,56,87,118
30,59,91,122
31,61,94,127
32,63,97,131
33,65,101,136
34,67,104,140
35,69,107,145
36,72,111,150
37,74,114,154
38,76,117,159
39,78,121,163
41,80,124,168
42,83,127,172
43,85,131,177
44,87,134,181
45,89,138,186
46,91,141,191
47,94,144,195
48,96,148,200
49,98,151,204
50,100,154,209
51,102,158,213
53,105,161,218
54,107,165,223
55,109,168,227
56,111,171,232
57,114,175,236
58,116,178,241
59,118,182,246
60,120,185,250
61,122,188,254
62,125,192,259
63,127,195,264
64,129,199,269
66,131,202,273
67,133,205,278
68,136,209,282
69,138,212,287
70,140,215,292
71,142,219,296
72,144,222,301
73,147,226,305
74,149,229,310
75,151,232,314
76,153,236,319
78,156,239,324
79,158,243,328
80,160,246,333
81,162,249,337
82,165,253,342
83,167,256,347
84,169,260,351
85,171,263,356
86,173,266,360
87,176,270,365
88,178,273,370
89,180,277,374
90,182,280,379
91,184,283,383
93,187,287,388
94,189,290,392
95,191,294,397
96,193,297,402
97,195,300,406
98,198,304,411
99,200,307,415
