C# time [ms],DC Motor PWM,Encoder Position [counts],Encoder Velocity [Hz]
571,0,0,0
630,0,0,0
654,0,0,0
662,0,0,0
697,0,0,0
719,0,0,0
722,0,0,0
741,0,0,0
763,0,0,0
779,0,0,0
798,0,0,0
812,0,0,0
828,0,0,0
845,0,0,0
858,0,0,0
874,0,0,0
884,0,0,0
907,0,0,0
921,0,0,0
930,0,0,0
944,0,0,0
968,0,0,0
983,0,0,0
999,0,0,0
1013,0,0,0
1032,0,0,0
1046,0,0,0
1061,0,0,0
1076,0,0,0
1092,0,0,0
1097,0,0,0
1126,0,0,0
1127,0,0,0
1154,0,0,0
1170,0,0,0
1186,0,0,0
1201,0,0,0
1207,0,0,0
1236,0,0,0
1241,0,0,0
1262,0,0,0
1278,0,0,0
1294,0,0,0
1309,0,0,0
1325,0,0,0
1341,0,0,0
1348,0,0,0
1370,0,0,0
1386,0,0,0
1402,0,0,0
1417,0,0,0
1433,0,0,0
1451,0,0,0
1463,0,0,0
1479,0,0,0
1497,0,0,0
1509,0,0,0
1525,0,0,0
1540,0,0,0
1557,0,0,0
1570,0,0,0
1585,0,0,0
1600,0,0,0
1615,0,0,0
1630,0,0,0
1646,0,0,0
1666,0,0,0
1676,0,0,0
1692,0,0,0
1710,0,0,0
1723,0,0,0
1739,0,0,0
1756,0,0,0
1775,0,0,0
1785,0,0,0
1801,0,0,0
1818,0,0,0
1833,0,0,0
1848,0,0,0
1864,0,0,0
1883,0,0,0
1895,0,0,0
1910,0,0,0
1925,0,0,0
1942,0,0,0
1956,0,0,0
1972,0,0,0
1992,0,0,0
2003,0,0,0
2020,0,0,0
2035,0,0,0
2050,0,0,0
2065,0,0,0
2080,0,0,0
2118,0,0,0
2142,0,0,0
2142,0,0,0
2172,0,0,0
2188,0,0,0
2204,0,0,0
2223,0,0,0
2235,0,0,0
2251,0,0,0
2265,0,0,0
2281,0,0,0
2295,0,0,0
2311,0,0,0
2323,0,0,0
2333,0,0,0
2353,0,0,0
2366,0,0,0
2378,0,0,0
2397,0,0,0
2420,0,0,0
2438,0,0,0
2450,0,0,0
2466,0,0,0
2480,0,0,0
2497,0,0,0
2512,0,0,0
2528,0,0,0
2548,0,0,0
2558,0,0,0
2573,0,0,0
2589,0,0,0
2605,0,0,0
2620,0,0,0
2636,0,0,0
2665,0,0,0
2683,0,0,0
2694,0,0,0
2715,0,0,0
2730,0,0,0
2745,0,0,0
2765,0,0,0
2776,0,0,0
2792,0,0,0
2807,0,0,0
2823,0,0,0
2838,0,0,0
2855,0,0,0
2878,0,0,0
2886,0,0,0
2901,0,0,0
2917,0,0,0
2933,0,0,0
2949,0,0,0
2964,0,0,0
2981,0,0,0
2997,0,0,0
3008,0,0,0
3021,0,0,0
3035,0,0,0
3055,0,0,0
3066,0,0,0
3090,0,0,0
3100,0,0,0
3118,0,0,0
3131,0,0,0
3145,0,0,0
3164,0,0,0
3178,0,0,0
3192,0,0,0
3209,0,0,0
3224,0,0,0
3241,0,0,0
3255,0,0,0
3272,0,0,0
3288,0,0,0
3305,0,0,0
3318,0,0,0
3333,0,0,0
3350,0,0,0
3367,0,0,0
3381,0,0,0
3397,0,0,0
3421,0,0,0
3427,0,0,0
3442,0,0,0
3457,0,0,0
3472,0,0,0
3491,0,0,0
3503,0,0,0
3523,0,0,0
3535,0,0,0
3551,0,0,0
3566,0,0,0
3582,0,0,0
3598,0,0,0
3613,0,0,0
3631,0,0,0
3644,0,0,0
3659,0,0,0
3677,0,0,0
3690,0,0,0
3706,0,0,0
3721,0,0,0
3744,0,0,0
3768,0,0,0
3782,0,0,0
3797,0,0,0
3812,0,0,0
3828,0,0,0
3843,0,0,0
3863,0,0,0
3866,0,0,0
3879,0,0,0
3899,0,0,0
3912,0,0,0
3924,0,0,0
3946,0,0,0
3962,0,0,0
3977,0,0,0
3989,0,0,0
4009,0,0,0
4032,0,0,0
4048,0,0,0
4063,0,0,0
4082,0,0,0
4094,0,0,0
4110,0,0,0
4125,0,0,0
4140,0,0,0
4156,0,0,0
4172,0,0,0
4176,0,0,0
4203,0,0,0
4218,0,0,0
4235,0,0,0
4250,0,0,0
4266,0,0,0
4282,0,0,0
4302,0,0,0
4314,0,0,0
4314,0,0,0
4346,0,0,0
4377,0,0,0
4403,0,0,0
4408,0,0,0
4439,0,0,0
4454,0,0,0
4476,0,0,0
4501,0,0,0
4507,0,0,0
4533,0,0,0
4547,0,0,0
4561,0,0,0
4577,0,0,0
4597,0,0,0
4609,0,0,0
4626,0,0,0
4640,0,0,0
4656,0,0,0
4670,0,0,0
4686,0,0,0
4690,0,0,0
4717,0,0,0
4735,0,0,0
4747,0,0,0
4763,0,0,0
4779,0,0,0
4794,0,0,0
4809,0,0,0
4825,0,0,0
4842,0,0,0
4856,0,0,0
4871,0,0,0
4887,0,0,0
4902,0,0,0
4917,0,0,0
4932,0,0,0
4951,0,0,0
4964,0,0,0
4980,0,0,0
4996,0,0,0
5011,0,0,0
5023,0,0,0
5036,0,0,0
5057,0,0,0
5074,0,0,0
5089,0,0,0
5104,0,0,0
5115,0,0,0
5134,0,0,0
5147,0,0,0
5168,0,0,0
5180,0,0,0
5196,0,0,0
5212,0,0,0
5227,0,0,0
5242,0,0,0
5258,0,0,0
5275,0,0,0
5289,0,0,0
