C# time [ms],DC Motor PWM,Encoder Position [counts],Encoder Velocity [Hz]
505,0,0,0
521,0,0,0
536,0,0,0
550,0,0,0
570,0,0,0
589,0,0,0
598,0,0,0
613,0,0,0
629,0,0,0
647,0,0,0
662,0,0,0
675,0,0,0
745,0,0,0
755,0,0,0
777,0,0,0
785,0,0,0
809,0,0,0
819,0,0,0
835,0,0,0
851,0,0,0
866,0,0,0
881,0,0,0
897,0,0,0
913,0,0,0
927,0,0,0
943,0,0,0
959,0,0,0
975,0,0,0
995,0,0,0
1007,0,0,0
1024,0,0,0
1037,0,0,0
1054,0,0,0
1069,0,0,0
1085,0,0,0
1100,0,0,0
1116,0,0,0
1135,0,0,0
1148,0,0,0
1162,0,0,0
1178,0,0,0
1199,0,0,0
1209,0,0,0
1225,0,0,0
1244,0,0,0
1256,0,0,0
1273,0,0,0
1287,0,0,0
1300,0,0,0
1316,0,0,0
1332,0,0,0
1350,0,0,0
1364,0,0,0
1384,0,0,0
1396,0,0,0
1413,0,0,0
1428,0,0,0
1444,0,0,0
1464,0,0,0
1477,0,0,0
1494,0,0,0
1508,0,0,0
1525,0,0,0
1539,0,0,0
1557,0,0,0
1574,0,0,0
1585,0,0,0
1608,0,0,0
1618,0,0,0
1633,0,0,0
1649,0,0,0
1665,0,0,0
1683,0,0,0
1696,0,0,0
1712,0,0,0
1727,0,0,0
1743,0,0,0
1758,0,0,0
1774,0,0,0
1792,0,0,0
1808,0,0,0
1820,0,0,0
1836,0,0,0
1852,0,0,0
1867,0,0,0
1883,0,0,0
1901,0,0,0
1915,0,0,0
2022,0,0,0
2036,0,0,0
2052,0,0,0
2067,0,0,0
2085,0,0,0
2103,0,0,0
2118,0,0,0
2128,0,0,0
2144,0,0,0
2163,0,0,0
2175,0,0,0
2191,0,0,0
2210,0,0,0
2225,0,0,0
2239,0,0,0
2254,0,0,0
2271,0,0,0
2286,0,0,0
2300,0,0,0
2316,0,0,0
2334,0,0,0
2347,0,0,0
2364,0,0,0
2379,0,0,0
2397,0,0,0
2410,0,0,0
2441,0,0,0
2448,0,0,0
2470,0,0,0
2486,0,0,0
2495,0,0,0
2508,0,0,0
2521,0,0,0
2542,0,0,0
2557,0,0,0
2566,0,0,0
2585,0,0,0
2600,0,0,0
2618,0,0,0
2631,0,0,0
2646,0,0,0
2665,0,0,0
2676,0,0,0
2697,0,0,0
2709,0,0,0
2728,0,0,0
2741,0,0,0
2755,0,0,0
2778,0,0,0
2787,0,0,0
2808,0,0,0
2819,0,0,0
2833,0,0,0
2854,0,0,0
2866,0,0,0
2882,0,0,0
2896,0,0,0
2910,0,0,0
2931,0,0,0
2944,0,0,0
2963,0,0,0
2978,0,0,0
2993,0,0,0
3010,0,0,0
3020,0,0,0
3044,0,0,0
3060,0,0,0
3074,0,0,0
3091,0,0,0
3110,0,0,0
3119,0,0,0
3131,0,0,0
3144,0,0,0
3169,0,0,0
3177,0,0,0
3197,0,0,0
3213,0,0,0
3231,0,0,0
3246,0,0,0
3261,0,0,0
3277,0,0,0
3291,0,0,0
3302,0,0,0
3327,0,0,0
3338,0,0,0
3354,0,0,0
3370,0,0,0
3385,0,0,0
3401,0,0,0
3421,0,0,0
3437,0,0,0
3447,0,0,0
3462,0,0,0
3477,0,0,0
3494,0,0,0
3509,0,0,0
3525,0,0,0
3544,0,0,0
3556,0,0,0
3571,0,0,0
3587,0,0,0
3602,0,0,0
3623,0,0,0
3634,0,0,0
3652,0,0,0
3660,0,0,0
3680,0,0,0
3696,0,0,0
3713,0,0,0
3727,0,0,0
3742,0,0,0
3762,0,0,0
3774,0,0,0
3789,0,0,0
3805,0,0,0
3830,0,0,0
3837,0,0,0
3852,0,0,0
3871,0,0,0
3884,0,0,0
3899,0,0,0
3914,0,0,0
3929,0,0,0
3944,0,0,0
3960,0,0,0
3979,0,0,0
3991,0,0,0
4006,0,0,0
4027,0,0,0
4036,0,0,0
4052,0,0,0
4068,0,0,0
4086,0,0,0
4099,0,0,0
4114,0,0,0
4129,0,0,0
4145,0,0,0
4160,0,0,0
4175,0,0,0
4194,0,0,0
4207,0,0,0
4228,0,0,0
4237,0,0,0
4252,0,0,0
4284,0,0,0
4320,0,0,0
4331,0,0,0
4347,0,0,0
4363,0,0,0
4393,0,0,0
4409,0,0,0
4429,0,0,0
4441,0,0,0
4454,0,0,0
4469,0,0,0
4485,0,0,0
4501,0,0,0
4516,0,0,0
4532,0,0,0
4551,0,0,0
4564,0,0,0
4565,0,0,0
4596,0,0,0
4597,0,0,0
4627,0,0,0
4634,0,0,0
4664,0,0,0
4688,0,0,0
4705,0,0,0
4719,0,0,0
