C# time [ms],DC Motor PWM,Encoder Position [counts],Encoder Velocity [Hz]
940,0,369,3.871103
1060,0,553,3.850178
1073,0,553,3.850178
1075,0,553,3.850178
1092,0,553,3.850178
1113,0,553,3.850178
1125,0,553,3.850178
1141,0,553,3.850178
1172,0,553,3.850178
1190,0,553,3.850178
1198,0,553,3.850178
1219,0,553,3.850178
1234,0,738,3.871103
1245,0,738,3.871103
1271,0,738,3.871103
1277,0,738,3.871103
1292,0,738,3.871103
1309,0,738,3.871103
1324,0,738,3.871103
1340,0,738,3.871103
1356,0,738,3.871103
1377,0,738,3.871103
1386,0,738,3.871103
1402,0,738,3.871103
1417,0,738,3.871103
1432,0,738,3.871103
1448,0,923,3.871103
1467,0,923,3.871103
1486,0,923,3.871103
1494,0,923,3.871103
1510,0,923,3.871103
1540,0,923,3.871103
1554,0,923,3.871103
1557,0,923,3.871103
1585,0,923,3.871103
1608,0,923,3.871103
1616,0,923,3.871103
1631,0,1108,3.871103
1647,0,1108,3.871103
1655,0,1108,3.871103
1669,0,1108,3.871103
1683,0,1108,3.871103
1722,0,1108,3.871103
1725,0,1108,3.871103
1765,0,1108,3.871103
1788,0,1108,3.871103
1803,0,1108,3.871103
1828,0,1108,3.871103
1851,0,1293,3.871103
1871,0,1293,3.871103
1881,0,1293,3.871103
1900,0,1293,3.871103
1909,0,1293,3.871103
1939,0,1293,3.871103
1943,0,1293,3.871103
1959,0,1293,3.871103
1974,0,1293,3.871103
1990,0,1293,3.871103
2006,0,1293,3.871103
2022,0,1293,3.871103
2043,0,1293,3.871103
2051,0,1478,3.871103
2066,0,1478,3.871103
2082,0,1478,3.871103
2098,0,1478,3.871103
2113,0,1478,3.871103
2125,0,1478,3.871103
2153,0,1478,3.871103
2159,0,1478,3.871103
2174,0,1478,3.871103
2183,0,1478,3.871103
2205,0,1478,3.871103
2220,0,1478,3.871103
2237,0,1653,3.661854
2267,0,1653,3.661854
2275,0,1653,3.661854
2297,0,1653,3.661854
2310,0,1653,3.661854
2329,0,1653,3.661854
2342,0,1653,3.661854
2360,0,1653,3.661854
2376,0,1653,3.661854
2388,0,1653,3.661854
2409,0,1653,3.661854
2421,0,1653,3.661854
2433,0,1653,3.661854
2456,0,1768,2.406361
2483,0,1768,2.406361
2487,0,1768,2.406361
2496,0,1768,2.406361
2513,0,1768,2.406361
2534,0,1768,2.406361
2554,0,1768,2.406361
2564,0,1768,2.406361
2582,0,1768,2.406361
2590,0,1768,2.406361
2609,0,1768,2.406361
2624,0,1768,2.406361
2642,0,1768,2.406361
2658,0,1824,1.171793
2677,0,1824,1.171793
2703,0,1824,1.171793
2720,0,1824,1.171793
2736,0,1824,1.171793
2753,0,1824,1.171793
2763,0,1824,1.171793
2778,0,1824,1.171793
2811,0,1824,1.171793
2820,0,1824,1.171793
2830,0,1824,1.171793
2846,0,1831,0.1464742
2855,0,1831,0.1464742
2878,0,1831,0.1464742
2892,0,1831,0.1464742
2920,0,1831,0.1464742
2923,0,1831,0.1464742
2942,0,1831,0.1464742
2954,0,1831,0.1464742
2969,0,1831,0.1464742
3013,0,1831,0.1464742
3032,0,1831,0.1464742
3046,0,1831,0.1464742
3068,0,1831,0
3077,0,1831,0
3094,0,1831,0
3111,0,1831,0
3140,0,1831,0
3158,0,1831,0
3170,0,1831,0
3191,0,1831,0
3203,0,1831,0
3213,0,1831,0
3243,0,1831,0
3251,0,1831,0
3262,0,1831,0
3280,0,1831,0
3296,0,1831,0
3312,0,1831,0
3327,0,1831,0
3349,0,1831,0
3358,0,1831,0
3373,0,1831,0
3388,0,1831,0
3404,0,1831,0
3420,0,1831,0
3435,0,1831,0
3456,0,1831,0
3467,0,1831,0
3483,0,1831,0
3498,0,1831,0
3514,0,1831,0
3530,0,1831,0
3545,0,1831,0
3564,0,1831,0
3576,0,1831,0
3591,0,1831,0
3606,0,1831,0
3623,0,1831,0
3638,0,1831,0
3654,0,1831,0
3675,0,1831,0
3684,0,1831,0
3700,0,1831,0
3716,0,1831,0
3731,0,1831,0
3748,0,1831,0
3762,0,1831,0
3786,0,1831,0
3793,0,1831,0
3808,0,1831,0
3824,0,1831,0
3840,0,1831,0
3855,0,1831,0
3871,0,1831,0
3890,0,1831,0
3902,0,1831,0
3918,0,1831,0
3934,0,1831,0
3950,0,1831,0
3966,0,1831,0
3981,0,1831,0
4024,0,1831,0
4028,0,1831,0
4042,0,1831,0
4059,0,1831,0
4073,0,1831,0
4090,0,1831,0
4119,0,1831,0
4124,0,1831,0
4136,0,1831,0
4152,0,1831,0
4168,0,1831,0
4183,0,1831,0
4199,0,1831,0
4221,0,1831,0
4230,0,1831,0
4245,0,1831,0
4271,0,1831,0
4278,0,1831,0
4292,0,1831,0
4307,0,1831,0
4328,0,1831,0
4338,0,1831,0
4368,0,1831,0
4385,0,1831,0
4386,0,1831,0
4414,0,1831,0
4430,0,1831,0
4465,0,1831,0
4478,0,1831,0
4493,0,1831,0
4493,0,1831,0
4524,0,1831,0
4538,0,1831,0
4560,0,1831,0
4569,0,1831,0
4586,0,1831,0
4602,0,1831,0
4617,0,1831,0
4633,0,1831,0
4650,0,1831,0
4671,0,1831,0
4682,0,1831,0
4695,0,1831,0
4711,0,1831,0
4727,0,1831,0
4729,0,1831,0
4759,0,1831,0
4784,0,1831,0
4795,0,1831,0
4821,0,1831,0
4836,0,1831,0
4851,0,1831,0
4866,0,1831,0
4889,0,1831,0
4899,0,1831,0
4915,0,1831,0
4931,0,1831,0
4943,0,1831,0
4963,0,1831,0
4984,0,1831,0
4994,0,1831,0
5009,0,1831,0
5039,0,1831,0
5054,0,1831,0
5070,0,1831,0
5081,0,1831,0
5106,0,1831,0
5130,0,1831,0
5135,0,1831,0
5163,0,1831,0
5178,0,1831,0
5194,0,1831,0
5215,0,1831,0
5226,0,1831,0
5241,0,1831,0
5244,0,1831,0
5272,0,1831,0
5288,0,1831,0
5291,0,1831,0
5319,0,1831,0
5334,0,1831,0
5344,0,1831,0
5366,0,1831,0
5376,0,1831,0
5389,0,1831,0
5403,0,1831,0
5436,0,1831,0
5442,0,1831,0
5457,0,1831,0
5471,0,1831,0
5488,0,1831,0
5503,0,1831,0
5520,0,1831,0
5542,0,1831,0
5550,0,1831,0
5566,0,1831,0
5583,0,1831,0
5598,0,1831,0
5614,0,1831,0
5629,0,1831,0
5651,0,1831,0
5661,0,1831,0
5677,0,1831,0
5693,0,1831,0
5709,0,1831,0
5725,0,1831,0
5740,0,1831,0
5762,0,1831,0
5787,0,1831,0
5803,0,1831,0
5808,0,1831,0
5825,0,1831,0
5849,0,1831,0
5868,0,1831,0
5879,0,1831,0
5895,0,1831,0
5911,0,1831,0
5926,0,1831,0
5941,0,1831,0
5956,0,1831,0
5978,0,1831,0
5987,0,1831,0
6003,0,1831,0
6018,0,1831,0
6034,0,1831,0
6050,0,1831,0
6066,0,1831,0
6086,0,1831,0
6097,0,1831,0
6113,0,1831,0
6129,0,1831,0
6144,0,1831,0
6159,0,1831,0
6175,0,1831,0
6195,0,1831,0
6206,0,1831,0
6221,0,1831,0
6237,0,1831,0
6252,0,1831,0
6267,0,1831,0
6277,0,1831,0
6305,0,1831,0
6315,0,1831,0
6330,0,1831,0
6343,0,1831,0
6361,0,1831,0
6379,0,1831,0
6393,0,1831,0
6414,0,1831,0
6427,0,1831,0
6440,0,1831,0
6457,0,1831,0
6472,0,1831,0
6488,0,1831,0
6502,0,1831,0
6540,0,1831,0
6548,0,1831,0
6563,0,1831,0
6580,0,1831,0
6597,0,1831,0
6612,0,1831,0
6632,0,1831,0
6644,13000,1831,0
6664,13000,1831,0
6674,13000,1831,0
6689,13000,1831,0
6705,13000,1831,0
6722,13000,1831,0
6745,13000,1831,0
6753,13000,1831,0
6768,13000,1831,0
6785,13000,1831,0
6792,13000,1831,0
6813,13000,1831,0
6829,13000,1831,0
6857,13000,1831,0
6861,13000,1831,0
6873,13000,1831,0
6892,13000,1831,0
6913,13000,1831,0
6923,13000,1831,0
6938,13000,1831,0
6958,13000,1831,0
6969,13000,1831,0
6984,13000,1831,0
7000,13000,1831,0
7016,13000,1831,0
7033,13000,1831,0
7049,13000,1831,0
7070,13000,1831,0
7079,13000,1831,0
7096,13000,1831,0
7116,13000,1865,0.7114459
7125,13000,1865,0.7114459
7141,13000,1865,0.7114459
7156,13000,1865,0.7114459
7190,13000,1865,0.7114459
7203,13000,1865,0.7114459
7219,13000,1865,0.7114459
7236,13000,1865,0.7114459
7250,13000,1865,0.7114459
7265,13000,1865,0.7114459
7289,13000,1865,0.7114459
7336,13000,1901,0.7532957
7341,13000,1901,0.7532957
7357,13000,1901,0.7532957
7374,13000,1901,0.7532957
7419,13000,1901,0.7532957
7438,13000,1901,0.7532957
7452,13000,1901,0.7532957
7467,13000,1901,0.7532957
7482,13000,1901,0.7532957
7508,13000,1901,0.7532957
7523,13000,1938,0.7742205
7530,13000,1938,0.7742205
7545,13000,1938,0.7742205
7561,13000,1938,0.7742205
7576,13000,1938,0.7742205
7592,13000,1938,0.7742205
7617,13000,1938,0.7742205
7622,13000,1938,0.7742205
7637,13000,1938,0.7742205
7653,13000,1938,0.7742205
7673,13000,1938,0.7742205
7685,13000,1938,0.7742205
7701,13000,1938,0.7742205
7727,13000,1975,0.7742205
7732,13000,1975,0.7742205
7748,13000,1975,0.7742205
7765,13000,1975,0.7742205
7784,13000,1975,0.7742205
7795,13000,1975,0.7742205
7807,13000,1975,0.7742205
7831,13000,1975,0.7742205
7843,13000,1975,0.7742205
7856,13000,1975,0.7742205
7868,13000,1975,0.7742205
7887,13000,1975,0.7742205
7908,13000,2011,0.7532957
7918,13000,2011,0.7532957
7944,13000,2011,0.7532957
7950,13000,2011,0.7532957
7968,13000,2011,0.7532957
7981,13000,2011,0.7532957
7997,13000,2011,0.7532957
8013,13000,2011,0.7532957
8029,13000,2011,0.7532957
8049,13000,2011,0.7532957
8059,13000,2011,0.7532957
8074,13000,2011,0.7532957
8091,13000,2011,0.7532957
8105,13000,2011,0.7532957
8125,13000,2048,0.7742205
8137,13000,2048,0.7742205
8160,13000,2048,0.7742205
8167,13000,2048,0.7742205
