C# time [ms],DC Motor PWM,Encoder Position [counts],Encoder Velocity [Hz]
514,0,0,0
527,0,0,0
541,0,0,0
559,0,0,0
621,0,0,0
623,0,0,0
647,0,0,0
653,0,0,0
678,0,0,0
684,0,0,0
699,0,0,0
714,0,0,0
743,0,0,0
745,0,0,0
761,0,0,0
781,0,0,0
813,0,0,0
821,0,0,0
851,0,0,0
852,0,0,0
878,0,0,0
899,0,0,0
903,0,0,0
929,0,0,0
935,0,0,0
946,0,0,0
961,0,0,0
997,0,0,0
1024,0,0,0
1036,0,0,0
1053,0,0,0
1057,0,0,0
1084,0,0,0
1101,0,0,0
1103,0,0,0
1125,0,0,0
1136,0,0,0
1164,0,0,0
1180,0,0,0
1200,0,0,0
1220,0,0,0
1244,0,0,0
1257,0,0,0
1273,0,0,0
1289,0,0,0
1306,0,0,0
1321,0,0,0
1341,0,0,0
1352,0,0,0
1370,0,0,0
1383,0,0,0
1400,0,0,0
1415,0,0,0
1443,0,0,0
1455,0,0,0
1465,0,0,0
1477,0,0,0
1508,0,0,0
1527,0,0,0
1550,0,0,0
1572,0,0,0
1576,0,0,0
1600,0,0,0
1605,0,0,0
1623,0,0,0
1647,0,0,0
1662,0,0,0
1685,0,0,0
1709,0,0,0
1724,0,0,0
1739,0,0,0
1753,0,0,0
1768,0,0,0
1789,0,0,0
1799,0,0,0
1814,0,0,0
1831,0,0,0
1845,0,0,0
1860,0,0,0
1876,0,0,0
1896,0,0,0
1906,0,0,0
1922,0,0,0
1936,0,0,0
1948,0,0,0
1967,0,0,0
1982,0,0,0
2000,0,0,0
2013,0,0,0
2028,0,0,0
2043,0,0,0
2059,0,0,0
2075,0,0,0
2090,0,0,0
2109,0,0,0
2121,0,0,0
2137,0,0,0
2152,0,0,0
2168,0,0,0
2183,0,0,0
2200,0,0,0
2218,0,0,0
2231,0,0,0
2246,0,0,0
2261,0,0,0
2276,0,0,0
2291,0,0,0
2307,0,0,0
2325,0,0,0
2337,0,0,0
2354,0,0,0
2369,0,0,0
2384,0,0,0
2400,0,0,0
2416,0,0,0
2436,0,0,0
2448,0,0,0
2463,0,0,0
2480,0,0,0
2494,0,0,0
2509,0,0,0
2525,0,0,0
2547,0,0,0
2556,0,0,0
2571,0,0,0
2587,0,0,0
2602,0,0,0
2617,0,0,0
2633,0,0,0
2656,0,0,0
2678,0,0,0
2694,0,0,0
2701,0,0,0
2725,0,0,0
2740,0,0,0
2756,0,0,0
2773,0,0,0
2786,0,0,0
2801,0,0,0
2817,0,0,0
2832,0,0,0
2847,0,0,0
2863,0,0,0
2881,0,0,0
2893,0,0,0
2909,0,0,0
2924,0,0,0
2939,0,0,0
2954,0,0,0
2969,0,0,0
2990,0,0,0
3001,0,0,0
3017,0,0,0
3032,0,0,0
3048,0,0,0
3063,0,0,0
3078,0,0,0
3097,0,0,0
3109,0,0,0
3125,0,0,0
3140,0,0,0
3157,0,0,0
3172,0,0,0
3181,0,0,0
3207,0,0,0
3218,0,0,0
3233,0,0,0
3249,0,0,0
3264,0,0,0
3280,0,0,0
3295,0,0,0
3317,0,0,0
3326,0,0,0
3342,0,0,0
3357,0,0,0
3372,0,0,0
3388,0,0,0
3404,0,0,0
3431,0,0,0
3435,0,0,0
3448,0,0,0
3466,0,0,0
3482,0,0,0
3497,0,0,0
3513,0,0,0
3534,0,0,0
3544,0,0,0
3559,0,0,0
3575,0,0,0
3590,0,0,0
3606,0,0,0
3621,0,0,0
3640,0,0,0
3653,0,0,0
3669,0,0,0
3685,0,0,0
3701,0,0,0
3715,0,0,0
3731,0,0,0
3751,0,0,0
3762,0,0,0
3777,0,0,0
3792,0,0,0
3808,0,0,0
3823,0,0,0
3839,0,0,0
3859,0,0,0
3870,0,0,0
3886,0,0,0
3901,0,0,0
3916,0,0,0
3931,0,0,0
3947,0,0,0
3966,0,0,0
3978,0,0,0
3993,0,0,0
4010,0,0,0
4024,0,0,0
4039,0,0,0
4054,0,0,0
4093,0,0,0
4101,0,0,0
4117,0,0,0
4133,0,0,0
4149,0,0,0
4170,0,0,0
4181,0,0,0
4198,0,0,0
4211,0,0,0
4242,0,0,0
4257,0,0,0
4273,0,0,0
4289,0,0,0
4304,0,0,0
4324,0,0,0
4334,0,0,0
4350,0,0,0
4366,0,0,0
4381,0,0,0
4396,0,0,0
4412,0,0,0
4430,0,0,0
4443,0,0,0
4458,0,0,0
4474,0,0,0
4491,0,0,0
4505,0,0,0
4521,0,0,0
4540,0,0,0
4552,0,0,0
4567,0,0,0
4582,0,0,0
4598,0,0,0
4614,0,0,0
4630,0,0,0
4635,0,0,0
4663,0,0,0
4677,0,0,0
4681,0,0,0
4709,0,0,0
4725,0,0,0
4740,0,0,0
4759,0,0,0
4766,0,0,0
4790,0,0,0
