25% Duty Cycle,50% Duty Cycle,75% Duty Cycle,100% Duty Cycle
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,1,1
0,0,1,1
0,0,1,1
0,0,1,1
0,1,1,1
1,1,1,2
1,1,1,2
1,1,2,2
1,1,2,2
1,1,2,3
1,1,2,3
1,2,3,3
1,2,3,4
1,2,3,4
1,2,3,5
1,2,4,5
2,3,4,5
2,3,4,6
2,3,5,6
2,3,5,7
2,3,5,7
2,4,6,8
2,4,6,8
2,4,6,9
3,4,7,9
3,5,7,10
3,5,8,10
3,5,8,11
3,6,8,11
3,6,9,12
3,6,9,12
4,6,10,13
4,7,10,13
4,7,11,14
4,7,11,15
4,8,12,15
4,8,12,16
5,8,13,16
5,8,13,17
5,9,13,18
5,9,14,18
5,9,14,19
5,10,15,19
5,10,16,20
6,10,16,21
6,11,17,21
6,11,17,22
6,12,18,23
6,12,18,23
6,12,19,24
7,13,19,25
7,13,20,25
7,13,20,26
7,14,21,27
7,14,21,28
8,14,22,28
8,15,23,29
8,15,23,30
8,16,24,30
8,16,24,31
9,16,25,32
9,17,26,33
9,17,26,33
9,17,27,34
9,18,27,35
9,18,28,35
10,19,28,36
10,19,29,37
10,19,30,38
10,20,30,38
10,20,31,39
11,21,31,40
11,21,32,41
11,21,33,42
11,22,33,42
11,22,34,43
12,23,35,44
12,23,35,45
12,23,36,45
12,24,36,46
12,24,37,47
13,25,38,48
13,25,38,49
13,25,39,49
13,26,40,50
13,26,40,51
14,27,41,52
14,27,41,52
14,28,42,53
14,28,43,54
14,28,43,55
15,29,44,56
15,29,45,57
15,30,45,57
15,30,46,58
15,31,47,59
16,31,47,60
16,31,48,61
16,32,49,61
16,32,49,62
16,33,50,63
17,33,50,64
17,34,51,65
17,34,52,65
17,34,52,66
18,35,53,67
18,35,54,68
18,36,54,69
18,36,55,70
18,37,56,70
19,37,56,71
19,37,57,72
19,38,58,73
19,38,58,74
19,39,59,75
20,39,60,75
20,40,60,76
20,40,61,77
20,40,62,78
20,41,62,79
21,41,63,80
21,42,64,80
21,42,64,81
21,43,65,82
21,43,66,83
22,43,66,84
22,44,67,85
22,44,68,86
22,45,68,86
22,45,69,87
23,46,70,88
23,46,70,89
23,47,70,90
23,47,71,91
24,47,72,92
24,48,72,92
24,48,73,93
24,49,74,94
24,49,74,95
25,50,75,96
25,50,76,97
25,50,76,98
25,50,77,98
25,50,78,99
26,51,78,100
26,51,79,101
26,52,80,102
26,52,80,103
26,53,81,104
27,53,82,104
27,53,82,105
27,53,83,106
27,53,84,107
28,54,84,108
28,54,85,109
28,55,86,110
28,55,87,111
28,56,87,111
29,56,88,112
29,57,89,113
29,57,89,114
29,57,90,115
29,58,91,116
30,58,91,117
30,59,92,118
30,59,93,118
30,60,93,119
30,60,94,120
31,60,95,121
31,61,95,122
31,61,96,123
31,62,97,124
31,62,98,125
32,63,98,125
32,63,99,126
32,64,100,127
32,64,100,128
33,65,101,129
33,65,102,130
33,65,102,131
33,66,103,132
33,66,104,132
34,67,104,133
34,67,105,134
34,68,106,135
34,68,107,136
34,69,107,137
35,69,108,138
